,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
62,Maharashtra,Gondia,528745,Goyal Krishi Kendra Tiroda,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),45.0,2024-01-11,
63,Maharashtra,Gondia,211864,Jai Ambe Traders  Sadak Arjuni,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),25.2,2024-01-11,
64,Maharashtra,Gondia,259145,Krishi Vikas Kendra  Gondia,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),17.55,2024-01-11,
65,Maharashtra,Gondia,213387,Mukta Krishi Kendra  Gondia,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),8.64,2024-01-11,
66,Maharashtra,Gondia,413448,Parmaka Trading Company,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),2.25,2024-01-11,
67,Maharashtra,Gondia,222501,Puglia Enterprises  Navegaon B,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),70.2,2024-01-11,
68,Maharashtra,Gondia,1211534,SACHIN KRUSHI KENDRA MAHAGAON ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),8.1,2024-01-11,
69,Maharashtra,Hingoli,1340334,GREEN AGREVOLUTION PRIVATE LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,17.0,2024-01-11,
70,Maharashtra,Jalgaon,104366,Anup Krushi Sewa Ke,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,3.0,2024-01-11,
71,Maharashtra,Jalgaon,104464,Laxminarayan Krushi Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,5.0,2024-01-11,
72,Maharashtra,Jalgaon,104464,Laxminarayan Krushi Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
73,Maharashtra,Jalgaon,104474,Mahavir Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,11.0,2024-01-11,
74,Maharashtra,Jalgaon,276563,Sanghavi Krushi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,10.0,2024-01-11,
75,Maharashtra,Jalgaon,1275590,SANGHAVI TRADING COMPANY,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),370.35,2024-01-11,
76,Maharashtra,Jalgaon,1275590,SANGHAVI TRADING COMPANY,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),191.725,2024-01-11,
77,Maharashtra,Jalgaon,1275590,SANGHAVI TRADING COMPANY,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,21.0,2024-01-11,
